id,observed_on,latitude,longitude,place_state_name,place_country_name
3365801,2016-06-02,35.9050774947,-79.0628821962,North Carolina,United States
3374598,2016-06-03,41.2894366667,-80.0868611667,Pennsylvania,United States
3377903,2016-06-04,39.9831693108,-75.4876091425,Pennsylvania,United States
3379203,2016-06-04,39.9867788516,-75.4827970919,Pennsylvania,United States
3386612,2016-06-04,40.1010149257,-77.0912795891,Pennsylvania,United States
3386903,2016-06-05,35.8948882856,-79.0533197858,North Carolina,United States
3388885,2016-06-05,35.891975,-79.0707083333,North Carolina,United States
3391891,2016-06-05,40.4386445692,-79.8887480423,Pennsylvania,United States
3403433,2016-06-04,39.984893,-75.482176,Pennsylvania,United States
3449983,2016-06-11,39.736047,-76.046387,Pennsylvania,United States
3450040,2016-06-11,39.736705,-76.040898,Pennsylvania,United States
3450459,2016-06-13,35.8975428343,-79.0336533264,North Carolina,United States
3451339,2016-06-13,40.0604300481,-78.3262697329,Pennsylvania,United States
3457496,2016-06-14,40.0617270638,-78.3277514019,Pennsylvania,United States
3457599,2016-06-14,40.0612587249,-78.3270173148,Pennsylvania,United States
3457633,2016-06-14,40.060453224,-78.3234234062,Pennsylvania,United States
3457660,2016-06-14,40.0608175854,-78.3221327607,Pennsylvania,United States
3467407,2016-06-16,40.0628702715,-78.3276045509,Pennsylvania,United States
3467720,2016-06-15,40.0673743291,-78.3235506435,Pennsylvania,United States
3489326,2016-06-17,41.183115,-81.193568,Ohio,United States
3490718,2016-06-15,39.06979954,-77.34364534,Maryland,United States
3511791,2016-06-18,39.0052647377,-77.2452831735,Maryland,United States
3528271,2016-06-26,36.0843982967,-78.8231800497,North Carolina,United States
3534923,2016-06-24,39.409141,-80.746078,West Virginia,United States
3535117,2016-06-27,36.0213425383,-78.8967117202,North Carolina,United States
3541303,2016-06-28,36.0114958138,-78.9023771324,North Carolina,United States
3542247,2016-06-26,37.607731,-88.278351,Illinois,United States
3634580,2016-07-06,36.0296601523,-78.8959255815,North Carolina,United States
3634874,2016-07-06,41.2947235107,-75.0141677856,Pennsylvania,United States
3637819,2016-06-24,41.5553668,-75.0190571,New York,United States
3653610,2016-07-10,38.69482431,-77.06125019,Maryland,United States
3658010,2016-07-10,36.06045736,-78.8167539798,North Carolina,United States
3678284,2016-06-18,35.8831833333,-84.3043133333,Tennessee,United States
3699235,2016-07-18,36.73087593,-86.2986715,Kentucky,United States
3706386,2016-07-19,37.56878,-89.36217,Illinois,United States
