observed_on,latitude,longitude,place_state_name
2019-08-03,38.7330738,-76.9171212,Maryland
2019-08-05,39.3925261824,-77.5630872232,Maryland
2019-08-06,38.922439171,-76.6148286034,Maryland
2019-08-06,36.5747022111,-82.2285891974,Tennessee
2019-08-03,40.8207746024,-74.6796920859,New Jersey
2019-08-10,40.6042257558,-74.5658378453,New Jersey
2018-08-18,41.0427674665,-74.846613334,New Jersey
2019-08-11,38.1168298563,-85.5283901934,Kentucky
2019-08-11,38.1212497596,-86.46473201,Indiana
2019-08-14,35.4895049986,-86.0759513453,Tennessee
2019-08-16,37.5342613246,-85.7313372201,Kentucky
2019-08-17,39.0231495511,-77.0374866546,Maryland
2019-08-17,42.7952558734,-73.7700985093,New York
2019-08-08,36.7878222222,-88.06285,Kentucky
2019-08-21,40.434325,-75.0913471667,Pennsylvania
2019-08-08,36.7835666667,-88.0530083333,Kentucky
2019-08-22,36.5506752301,-84.7907818762,Tennessee
2019-07-25,36.8224805556,-88.0598666667,Kentucky
2019-08-23,34.0555645641,-84.703488485,Georgia
2019-08-24,41.2828533333,-73.91368,New York
2019-08-26,38.8409589418,-77.6682596561,Virginia
2019-08-30,42.58958143,-72.57686812,Massachusetts
2019-08-30,39.8758783333,-86.2914666667,Indiana
2019-08-31,42.6896674885,-71.0612814781,Massachusetts
2019-09-01,40.917265,-73.9320283333,New Jersey
2019-09-02,33.901255,-83.58638,Georgia
2019-09-03,36.5663881554,-84.7946797964,Tennessee
2019-09-03,35.3293341654,-83.2375626464,North Carolina
2019-09-04,36.5249914443,-84.8895614316,Tennessee
2019-09-05,40.8679576,-75.42058804,Pennsylvania
2019-09-02,36.8393366667,-84.344475,Kentucky
2019-09-07,36.052368111,-79.024286382,North Carolina
2019-09-09,35.6092116667,-82.239555,North Carolina
2019-09-11,36.1534490861,-79.4880143149,North Carolina
2019-09-12,35.7697099735,-86.994414444,Tennessee
2019-09-15,35.9803101886,-79.0019615182,North Carolina
2019-09-11,36.0297682,-86.6205476,Tennessee
2019-09-24,35.7435391937,-79.1753514112,North Carolina
2019-09-22,36.7708466667,-84.5145116667,Kentucky
2019-09-22,35.4644756071,-82.9198096901,North Carolina
2019-10-07,35.8949032,-78.5840013,North Carolina
2019-09-06,38.22073,-84.8443283333,Kentucky
2019-10-07,35.8907623431,-78.5777267182,North Carolina
2019-10-08,35.9581285763,-83.9233198462,Tennessee
